Requirement_ID,E-book_Chapter,E-book_Section,Requirement_Description,CRISP-DM_Phase,Required_Analysis,Dashboard_Page,Coverage_Status,Notes
CH1.1,Capítulo 1,1.1 - 1.3,Overview of Data Science and its relevance to socioeconomic problems,Business Understanding,Conceptual framing of the problem,Página 1 (Início) / Página 5 (Conclusões),Fully Covered,Dashboard explains problem context and CRISP-DM methodology
CH1.2,Capítulo 1,1.2,Role of Predictive Modeling in socioeconomic problems,Business Understanding,Problem framing and business objectives,Página 5 (Conclusões),Fully Covered,Storytelling section explains predictive modeling application
CH1.3,Capítulo 1,1.3,CRISP-DM methodology overview (6 phases),All phases,Process structure and documentation,Página 5 (Conclusões) / README,Partially Covered,CRISP-DM mentioned but not explicitly diagrammed with all 6 phases
CH2.1,Capítulo 2,2.1,Data quality importance and validation,Data Understanding & Preparation,"Data profiling, missing values detection, outlier analysis",Missing - Data Quality Report needed,Missing,"No dedicated page for data quality metrics, profiling results"
CH2.2,Capítulo 2,2.2,Strategies to identify and acquire new data,Data Understanding,"Data source justification, collection methodology",README / Documentation,Partially Covered,Data sources documented but strategy/justification for each variable missing
CH2.3,Capítulo 2,2.3,Justification for acquiring new variables or temporal data,Data Understanding,"Temporal analysis, data gaps identification",Página 1 (Início) - Tendência Temporal,Partially Covered,Temporal data exists (2018-2022) but justification for each variable missing
CH2.4,Capítulo 2,2.4,Data cleaning and preprocessing techniques,Data Preparation,"Missing values, duplicates, outliers, normalization",Missing - Data Preprocessing Report needed,Missing,"No page documenting preprocessing steps: imputation, scaling, encoding"
CH2.5,Capítulo 2,2.5,"Tools and libraries documentation (Pandas, NumPy)",Data Preparation,Technical implementation details,README / GitHub Repository,Partially Covered,Tools mentioned in README but specific usage/examples missing
CH3.1,Capítulo 3,3.1,Introduction to ML models and pattern recognition,Modeling,"Model overview, algorithm selection",Página 3 (Predições Futuras),Partially Covered,Model used (XGBoost) shown but limited explanation of why/how
CH3.2,Capítulo 3,3.2,"Types of models: Regression, Classification, Time Series",Modeling,"Problem type classification, model selection rationale",Página 3 (Predições) / Página 5 (Conclusões),Partially Covered,Uses regression; Classification (Nivel_Risco) not explicitly shown
CH3.3,Capítulo 3,3.3,Selecting appropriate models for socioeconomic impacts,Modeling,Model justification based on interpretability vs performance,Página 5 (Conclusões),Partially Covered,XGBoost chosen but limited explanation of why over alternatives
CH3.4,Capítulo 3,3.4,"Model validation: train/test split, cross-validation, metrics",Evaluation,"Validation strategy documentation, metric explanations",Página 3 (Predições) / Página 4 (SHAP),Partially Covered,"R² shown (0.51) but no cross-validation details, train/test split documentation"
CH3.5,Capítulo 3,3.5,"Hyperparameter tuning: Grid Search, Random Search",Modeling,Hyperparameter optimization documentation,Missing - Hyperparameter Tuning Report needed,Missing,No documentation of hyperparameter tuning process or results
CH4.1,Capítulo 4,4.1,Why analyze variable importance,Evaluation,Importance of feature analysis for policy direction,Página 4 (SHAP Analysis) / Página 5 (Conclusões),Fully Covered,SHAP page clearly explains why importance analysis matters
CH4.2,Capítulo 4,4.2,"Importance methods: Permutation Importance, SHAP, Feature Importance",Evaluation,Multiple interpretability techniques,Página 4 (SHAP Analysis),Partially Covered,Only SHAP values shown; no Permutation Importance or comparison of methods
CH4.3,Capítulo 4,4.3,Interpretation of results and policy impacts,Evaluation & Implementation,Translating numerical importance to actionable insights,Página 4 (SHAP) / Página 5 (Conclusões),Fully Covered,Good interpretation of gravidez adolescente as main factor
CH4.4,Capítulo 4,4.4,"Tools for analysis: Scikit-learn, SHAP, Eli5",Evaluation,Technical tool documentation and implementation,Página 4 (SHAP Analysis) / README,Partially Covered,SHAP implemented; no ELI5 or scikit-learn feature_importance shown
CH5.1,Capítulo 5,5.1,Principles of effective data visualization,Implementation,"Visual design documentation, clarity, accessibility",All Pages,Fully Covered,"Dashboard applies clean design, consistent colors, readable layouts"
CH5.2,Capítulo 5,5.2,"Types of visualizations: Charts, Maps, Tables",Implementation,Variety of visualization types,All Pages (Charts/Maps) + Página 6 (Maps),Fully Covered,"Includes line charts, bar charts, tables, choropleth maps, interactive maps"
CH5.3,Capítulo 5,5.3,"Dashboard tools: Plotly, Tableau, Power BI, Streamlit",Implementation,Tool selection and implementation,All Pages,Fully Covered,Dashboard built with Streamlit + Plotly + Folium
CH5.4,Capítulo 5,5.4,Best practices for interactive dashboards,Implementation,"Interactive elements, filters, hierarchy, consistency",All Pages,Fully Covered,"Hierarchical structure, filters, interactive maps, consistent styling"
CH6.1,Capítulo 6,6.1-6.3,"Environment setup: Python, Jupyter, Anaconda, Virtual Environments",Preparation,Development environment documentation,README / Repository,Partially Covered,requirements.txt exists but no setup instructions for Jupyter notebooks
CH7.1,Capítulo 7,7.1-7.4,Step-by-step ML model implementation with Scikit-learn,Modeling & Evaluation,"Model development, comparison, metrics",Página 3 (Predições) / Página 4 (SHAP),Partially Covered,Implementation exists but no detailed notebook walkthrough shown
CH8.1,Capítulo 8,8.1-8.3,"SHAP tutorial: Interpreting models, Feature Importance presentation",Evaluation,"SHAP implementation, visualization, interpretation",Página 4 (SHAP Analysis),Fully Covered,"SHAP analysis page shows values, bar charts, interpretation examples"
CH9.1,Capítulo 9,9.1-9.4,"Creating visualizations with Matplotlib, Seaborn, Folium, Plotly",Implementation,Visualization implementation and styling,All Pages,Fully Covered,"Plotly charts, Folium maps, Streamlit widgets; no explicit Matplotlib/Seaborn"
CH10.1,Capítulo 10,10.1-10.4,"Documentation: Jupyter notebooks, Final PDF report, Checklist, Presentation",Implementation,Project documentation completeness,README / GitHub Repository,Partially Covered,"README exists; no formal PDF report template, presentation slides, or explicit checklist"
