Requirement_ID,E-book_Chapter,Requirement_Description,Dashboard_Page,Coverage_Status
CH1.1,Capítulo 1,Overview of Data Science and its relevance to socioeconomic problems,Página 1 (Início) / Página 5 (Conclusões),Fully Covered
CH1.2,Capítulo 1,Role of Predictive Modeling in socioeconomic problems,Página 5 (Conclusões),Fully Covered
CH1.3,Capítulo 1,CRISP-DM methodology overview (6 phases),Página 5 (Conclusões) / README,Partially Covered
CH2.1,Capítulo 2,Data quality importance and validation,Missing - Data Quality Report needed,Missing
CH2.2,Capítulo 2,Strategies to identify and acquire new data,README / Documentation,Partially Covered
CH2.3,Capítulo 2,Justification for acquiring new variables or temporal data,Página 1 (Início) - Tendência Temporal,Partially Covered
CH2.4,Capítulo 2,Data cleaning and preprocessing techniques,Missing - Data Preprocessing Report needed,Missing
CH2.5,Capítulo 2,"Tools and libraries documentation (Pandas, NumPy)",README / GitHub Repository,Partially Covered
CH3.1,Capítulo 3,Introduction to ML models and pattern recognition,Página 3 (Predições Futuras),Partially Covered
CH3.2,Capítulo 3,"Types of models: Regression, Classification, Time Series",Página 3 (Predições) / Página 5 (Conclusões),Partially Covered
CH3.3,Capítulo 3,Selecting appropriate models for socioeconomic impacts,Página 5 (Conclusões),Partially Covered
CH3.4,Capítulo 3,"Model validation: train/test split, cross-validation, metrics",Página 3 (Predições) / Página 4 (SHAP),Partially Covered
CH3.5,Capítulo 3,"Hyperparameter tuning: Grid Search, Random Search",Missing - Hyperparameter Tuning Report needed,Missing
CH4.1,Capítulo 4,Why analyze variable importance,Página 4 (SHAP Analysis) / Página 5 (Conclusões),Fully Covered
CH4.2,Capítulo 4,"Importance methods: Permutation Importance, SHAP, Feature Importance",Página 4 (SHAP Analysis),Partially Covered
CH4.3,Capítulo 4,Interpretation of results and policy impacts,Página 4 (SHAP) / Página 5 (Conclusões),Fully Covered
CH4.4,Capítulo 4,"Tools for analysis: Scikit-learn, SHAP, Eli5",Página 4 (SHAP Analysis) / README,Partially Covered
CH5.1,Capítulo 5,Principles of effective data visualization,All Pages,Fully Covered
CH5.2,Capítulo 5,"Types of visualizations: Charts, Maps, Tables",All Pages (Charts/Maps) + Página 6 (Maps),Fully Covered
CH5.3,Capítulo 5,"Dashboard tools: Plotly, Tableau, Power BI, Streamlit",All Pages,Fully Covered
CH5.4,Capítulo 5,Best practices for interactive dashboards,All Pages,Fully Covered
CH6.1,Capítulo 6,"Environment setup: Python, Jupyter, Anaconda, Virtual Environments",README / Repository,Partially Covered
CH7.1,Capítulo 7,Step-by-step ML model implementation with Scikit-learn,Página 3 (Predições) / Página 4 (SHAP),Partially Covered
CH8.1,Capítulo 8,"SHAP tutorial: Interpreting models, Feature Importance presentation",Página 4 (SHAP Analysis),Fully Covered
CH9.1,Capítulo 9,"Creating visualizations with Matplotlib, Seaborn, Folium, Plotly",All Pages,Fully Covered
CH10.1,Capítulo 10,"Documentation: Jupyter notebooks, Final PDF report, Checklist, Presentation",README / GitHub Repository,Partially Covered
